,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
0,Spider-Man: Across the Spider-Verse,2023,140 ,"Animation, Action, Adventure",9.1,86,54090,#15,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
1,John Wick: Chapter 4,2023,169 ,"Action, Crime, Thriller",8.0,78,191636,,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
2,Guardians of the Galaxy Vol. 3,2023,150 ,"Action, Adventure, Comedy",8.2,64,157604,#160,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
3,Spider-Man: Into the Spider-Verse,2018,117 ,"Animation, Action, Adventure",8.4,87,572157,$190.24M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
4,Top Gun: Maverick,2022,130 ,"Action, Drama",8.3,78,591592,$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
5,The Whale,2022,117 ,Drama,7.7,60,149338,,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
6,Avatar: The Way of Water,2022,192 ,"Action, Adventure, Fantasy",7.7,67,388034,$659.68M,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home."
7,The Godfather,1972,175 ,"Crime, Drama",9.2,100,1910994,$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
8,Everything Everywhere All at Once,2022,139 ,"Action, Adventure, Comedy",7.8,81,450542,$72.86M,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
9,The Shawshank Redemption,1994,142 ,Drama,9.3,82,2747561,$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
10,Guardians of the Galaxy,2014,121 ,"Action, Adventure, Comedy",8.0,76,1219807,$333.18M,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
11,Indiana Jones and the Raiders of the Lost Ark,1981,115 ,"Action, Adventure",8.4,85,987343,$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
